hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
128,3,0.0005,0.3,40,128,1.0008508563041687,0.34210526315789475,1.8
128,3,0.0001,0.2,20,256,1.0011922121047974,0.39473684210526316,3.7
32,2,0.0001,0.3,20,128,1.0012257397174835,0.34210526315789475,8.1
128,3,0.001,0.3,20,256,1.0013211965560913,0.42105263157894735,1.2
128,2,0.0001,0.3,20,128,1.0014193654060364,0.3157894736842105,2.2
128,2,0.0001,0.2,20,128,1.001450538635254,0.3157894736842105,2.0
128,2,0.001,0.3,20,256,1.0015417337417603,0.4473684210526316,1.2
32,3,0.001,0.3,40,128,1.0015880763530731,0.35526315789473684,2.5
128,2,0.0005,0.2,60,256,1.0016497373580933,0.375,1.4
128,3,0.001,0.3,40,256,1.0017154216766357,0.4144736842105263,1.2
32,1,0.0001,0.3,40,128,1.0018670856952667,0.40131578947368424,7.4
128,2,0.0001,0.3,60,256,1.0020418167114258,0.4144736842105263,3.7
32,2,0.0001,0.2,20,128,1.002166599035263,0.34210526315789475,8.2
64,2,0.001,0.2,60,256,1.0026687383651733,0.40789473684210525,1.1
128,1,0.001,0.3,60,256,1.0029575824737549,0.375,1.2
32,3,0.001,0.4,40,128,1.003034621477127,0.3684210526315789,2.3
128,2,0.0001,0.2,60,256,1.0032342672348022,0.4144736842105263,3.3
128,2,0.0005,0.3,60,256,1.0032624006271362,0.375,1.2
128,2,0.001,0.2,20,256,1.0033844709396362,0.4407894736842105,1.1
128,1,0.001,0.2,40,256,1.0033963918685913,0.375,1.3
128,3,0.0005,0.3,20,256,1.0034645795822144,0.40789473684210525,1.5
32,3,0.0005,0.3,20,256,1.0036903619766235,0.3684210526315789,2.2
128,3,0.001,0.2,20,256,1.0037325620651245,0.3815789473684211,1.1
32,3,0.001,0.3,20,256,1.0038012266159058,0.34868421052631576,1.6
32,3,0.0005,0.2,20,256,1.0049843788146973,0.3684210526315789,2.3
128,1,0.001,0.3,40,256,1.0051144361495972,0.3881578947368421,1.3
64,1,0.001,0.3,60,256,1.0052642822265625,0.40789473684210525,1.2
32,1,0.0001,0.4,40,128,1.0054315328598022,0.40131578947368424,7.4
128,2,0.0005,0.4,40,128,1.005490630865097,0.3092105263157895,1.3
128,2,0.0005,0.3,40,128,1.006242960691452,0.3026315789473684,1.2
128,1,0.001,0.3,20,256,1.0065877437591553,0.3881578947368421,1.2
32,3,0.001,0.2,20,256,1.0068159103393555,0.3684210526315789,1.6
